task,base_cost,base_points,source,sha256,bytes,valid,candidate_cost,candidate_points,delta_cost,delta_points,reason
task099,1899,17.450917,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task099.onnx,ab94772539ef0dbfdc58037072177708007665f218165e04cac7062f626749df,9183,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Add(14) node with name 'safe_name_21'
task105,2941,17.013495,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task105.onnx,302d69cd545e634d006a78d3959611154b7f0f082ef7b60527e45244cd8e79ed,6507,True,2866,17.039327391611884,-75,0.02583239161188544,
task106,626,18.56065,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task106.onnx,e1830f3821bacd5471705e7a966cdea81ee40634c2132e856403d4a2f2321448,1177,True,626,18.560649628899903,0,-3.7110009643015474e-07,
task107,3681,16.78906,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task107.onnx,a48aee82a962e6841223ed81f7a4af5fe15e4cc08da8b04b261f053bdf565e6c,5774,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_33'
task114,900,18.197605,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task114.onnx,73a3da0a6b40bf1ac49e7095185ec632fd838bc9a57322d5876e09d66f28afbd,3835,True,900,18.197605236675688,0,2.3667568882501655e-07,
task115,1043,18.050144,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task115.onnx,3d1c4857fc063a6cfadb4333ebf89b1082e9e12613cdfba67f6f741d0a13a34d,3437,True,1014,18.078341815848873,-29,0.028197815848873375,
task127,396,19.018586,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task127.onnx,2421f9f0f87224c60a248e8d2e6577324615aef1a990193582137234da46f320,1009,True,396,19.01858578874552,0,-2.1125448057546237e-07,
task133,21278,15.034571,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task133.onnx,387342495b3dee33a80b27ff571cba8babb42398b79b1fb25a4bd83e2b55c536,6941,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_79'
task137,3526,16.832081,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task137.onnx,ca3758bf7f3244d531c543412a3700385691adebbfdc6578ecaea416561f6469,2695,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Max(13) node with name 'safe_name_38'
task145,12855,15.538512,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task145.onnx,2dbfb6f9d5ea294d2e0be0fbfd5fbb2460a1e249de794bd3bb31f95a48b4f883,3877,False,,,,,ValidationError: Your model ir_version 13 is higher than the checker's (12).
task147,532,18.723357,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task147.onnx,f8c50aeec09138e2867f0b468a7f41db144b8a4a6df6a3889a0a8801a6aa4d2b,1309,True,532,18.723356510658355,0,-4.893416445383991e-07,
task153,793,18.324177,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task153.onnx,cc41bafe54a98f1d19c700807c9620636cc7f839ac016b8c89ed74de2006562e,5644,True,793,18.324176778365153,0,-2.216348455874595e-07,
task154,2743,17.083193,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task154.onnx,7b40abef1673818c738f89fdaea726928d9b1fbafe0f05c5b940b93ba499529a,3733,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Max(13) node with name 'safe_name_55'
task155,138,20.072746,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task155.onnx,0faf6dbc5525fca74bf5f2e0335d3a0691b1edcd44f0463c4c8148d20e1fd979,593,True,138,20.072746314842796,0,3.1484279716664787e-07,
task157,6847,16.168434,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task157.onnx,8f202add21c7f2e5d90f56d6bee600f01a089a505509fdd988c8e745001fc8d6,39205,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Sub(14) node with name 'safe_name_57'
task160,1334,17.804063,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task160.onnx,4009d245574a3c5628037d425de0c5e9c4bf45e9d091aff99f67916c50eca6c3,1376,True,1334,17.804062773524432,0,-2.264755671887997e-07,
task164,30,21.598803,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task164.onnx,250771b94d3db4658d4ac04e3bd9a0740f2af0f3aba0bb9b5df4d6181bb470d4,479,True,30,21.598802618337846,0,-3.816621543251131e-07,
task166,24,21.821946,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task166.onnx,5b27fd62c7975ee02404cfb956fcf535d40fba52b6f0b09987d88c744fe4ede8,352,True,24,21.821946169652055,0,1.69652054182734e-07,
task167,146,20.016393,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task167.onnx,e9b26cbc8bf2c2bf3a198186c75383cb3cc1b6aa3710c7c0e91eae7c49784a4d,847,True,146,20.016393378291664,0,3.7829166288361193e-07,
task173,13383,15.498259,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task173.onnx,804b575ba69cd27c923f1e2fe031438bd3e3a50ea0725310cea6f4e3584b494e,4073,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_53'
task182,6095,16.284776,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task182.onnx,d52fe5f210be17ee30353ed473d10acfc60bcff05936bbb1f6dfc9d3aa604217,2135,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Greater(13) node with name 'safe_name_31'
task200,753,18.375935,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task200.onnx,1e529cfaf059e7c37000455e34dd4715ac501ef5ca1312b6a43ba5a3d3fdc68c,1326,True,623,18.565453481212547,-130,0.18951848121254855,
task217,1470,17.706982,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task217.onnx,6f702690e2769bff117871d891c2ac5e79d2b017f0cb48ba289a20b3f6c472a7,1049,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(11) node with name 'safe_name_9'
task219,8739,15.924449,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task219.onnx,b90add754f9a616658023f986e451508b8e06b4b471ac78d9edb79c720f19f71,9609,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Mul(14) node with name 'safe_name_32'
task226,1534,17.664366,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task226.onnx,77e1c631c2b9911bc62588db803675cc349c7714f5e95fa8549b6f75dbd1447a,1979,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Sub(14) node with name 'safe_name_9'
task229,200,19.701683,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task229.onnx,4e56449b9c745647452dac693c2c5e05ac04a738c3178e6b3f5af0e88001f80c,1011,True,200,19.701682633451963,0,-3.6654803636793076e-07,
task232,1410,17.748655,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task232.onnx,c9080306bbd1480dd44632366298265f141732323a7ec95175626cd70d7baa74,5840,True,1410,17.748655016627787,0,1.6627787147172057e-08,
task236,126,20.163718,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task236.onnx,b422d6b5c34a300040bd2268aef0d31544cd33ec7c4a233438e9c0f6b598d9d1,587,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for ConvInteger(10) node with name 'output'
task243,13654,15.478212,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task243.onnx,611630947a82edf10f04a0117b34d9229ecc4c57917ea2884c16a46432de82cb,164506,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Greater(13) node with name 'safe_name_2640'
task246,2634,17.123741,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task246.onnx,5de5dc2a8657ca6128f85b2bd7b8194bb9c9188604f11928cedfe208aa68180d,2624,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Min(13) node with name 'safe_name_23'
task251,4920,16.498936,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task251.onnx,1a3f4c3e4c91d99bca628d3f30c067428b210365e774d32d4cdc50d2ac427ac2,2718,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Sub(14) node with name 'safe_name_12'
task256,2251,17.28087,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task256.onnx,3347efdee8da5dc83cb7da5c8e643fb3640a3bc4489655d198d0db4d0b2e7efb,1527,True,2114,17.343662833569816,-137,0.0627928335698158,
task263,670,18.492722,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task263.onnx,d6ab17ba68580d5d6013ace673e487b630880281ff5fd0fe0117150763c5e0ac,4176,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(11) node with name 'safe_name_28'
task264,2329,17.246806,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task264.onnx,18f2b72ad00aadc4f909aaf0bfe9e5b9fcf568b8bd295f8c36e529b5b2f4a237,8422,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_30'
task282,446,18.899681,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task282.onnx,71f0dde46f0325c9b51eb1e9f10077f0a9f6ea3bc91e18f4c02fe74ffbfb7942,698,True,446,18.899681047979936,0,4.7979934691966264e-08,
task287,1994,17.402102,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task287.onnx,cc13d8f7c4147b0f7a363d5b6b43f6b2a446cbe5b0cc16b13a910da6e24831a3,1811,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Div(14) node with name 'safe_name_8'
task292,80,20.617973,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task292.onnx,f5dbb65451bb16d37f5e44041120e559dd95ac030ffb9d13dc5ac7c8850119d5,499,True,80,20.61797336532612,0,3.653261195779578e-07,
task296,314,19.250607,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task296.onnx,5d67759a3a2da2950e431668a7a26c781b5b966139422e64672db145b6405158,3893,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_64'
task314,100,20.39483,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task314.onnx,91294db3a76db1cf55efd0eeb6e6c475503684a7d282ec1b5611be5a48729242,625,True,100,20.394829814011906,0,-1.8598809248260295e-07,
task331,910,18.186555,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task331.onnx,159b7db4377d2a7d75a15aa8f84344e6d919741566944220da8f361aa1da572a,3836,True,910,18.186555400489105,0,4.0048910676659943e-07,
task353,244,19.502832,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task353.onnx,aca31888d6a834f7b63c41dc1e48addce3f44ca64537d5351f9ba073bc41b18b,1438,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Add(14) node with name 'safe_name_15'
task357,291,19.326677,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task357.onnx,aa2e6a783ee448c5920f430044b4d60e7f1b24865562c676d93c8c3237168058,926,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Div(14) node with name 'safe_name_8'
task358,4027,16.699223,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task358.onnx,c830016d720681473f8c7f5169707e50c808edffd84d1c6a2c56a1f4aafab32b,5213,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Min(13) node with name 'safe_name_40'
task359,4342,16.62391,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task359.onnx,90845abfbbfb565e107a13896f223d53a39a45e948b5596ace983b8cc7033c5c,1617,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Max(13) node with name 'safe_name_23'
task363,4612,16.563583,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task363.onnx,993ed2e49657ad0d213afff704284101d86a3c3a79f539607b91ac88ee5ee0a0,3130,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_45'
task384,481,18.824133,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task384.onnx,75dc68ca140213f2a46eddf470420acc22a6e20067776370bb8b6b6eabc94834,1731,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Mul(14) node with name 'safe_name_19'
task386,211,19.648142,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task386.onnx,454df939c0621578a2dcd658c41a6909950c13edd425233bc68711b54b1d7422,814,True,211,19.648141866523932,0,-1.3347606753200125e-07,
task390,3082,16.966666,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task390.onnx,4ab87ac79ff3cd60d0ee922389eb5934d9be7ddbc0c7223368585ee08d59005d,8616,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_52'
task400,1181,17.925883,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task400.onnx,74bb526e867fa4243fab3aed44e15c060cbf5455badadcadcc6cf79f98a5e195,735,True,1181,17.92588318380264,0,1.8380264066308882e-07,
